Wavelength (nm),Transmitance (%)
533.4,80.7102
533.6,79.8785
533.8,79.0369
534,78.2129
534.2,77.3431
534.4,76.5153
534.6,75.6352
534.8,74.7768
535,73.916
535.2,73.0975
535.4,72.2348
535.6,71.4053
535.8,70.5717
536,69.7567
536.2,68.9272
536.4,68.1489
536.6,67.3583
536.8,66.5856
537,65.8188
537.2,65.0652
537.4,64.3022
537.6,63.5896
537.8,62.8988
538,62.2206
538.2,61.573
538.4,60.9354
538.6,60.326
538.8,59.7235
539,59.1587
539.2,58.6186
539.4,58.0857
539.6,57.5794
539.8,57.1165
540,56.6479
540.2,56.1969
540.4,55.765
540.6,55.3731
540.8,54.9814
541,54.5917
541.2,54.2406
541.4,53.8648
541.6,53.4965
541.8,53.1387
542,52.7756
542.2,52.3976
542.4,52.0137
542.6,51.6089
542.8,51.1551
543,50.7084
543.2,50.2037
543.4,49.6909
543.6,49.1166
543.8,48.5223
544,47.8624
544.2,47.1483
544.4,46.4395
544.6,45.6554
544.8,44.8205
545,43.9074
550,18.4
555,4.32
560,2.09
565,2.09
570,1.95
575,1.67
580,1.39
585,1.2
590,1.12
595,1.11
600,1.06
605,0.909
610,0.856
615,0.886
620,0.955
625,1.1
630,1.16
635,1.1
640,1.04
645,0.927
650,0.777
655,0.771
660,0.88
665,0.882
670,0.796
675,0.72
680,0.63
685,0.53
690,0.47
695,0.394
700,0.194
705,0.0523
710,0.0259
715,0.0216
720,0.0238
725,0.0294
730,0.0261
735,0.0213
740,0.0224
745,0.0282
750,0.0353
755,0.0355
760,0.0351
765,0.0362
770,0.034
775,0.0334
780,0.0337
785,0.0332
790,0.0443
795,0.0877
800,0.183
805,0.294
810,0.381
815,0.503
820,0.609
825,0.559
830,0.477
835,0.493
840,0.444
845,0.289
850,0.2
855,0.262
860,0.433
865,0.558
870,0.564
875,0.577
880,0.714
885,0.939
890,1.06
895,0.949
900,0.705
905,0.519
910,0.433
915,0.379
920,0.362
925,0.439
930,0.589
935,0.691
940,0.716
945,0.714
950,0.736
955,0.745
960,0.713
965,0.674
970,0.677
975,0.726
980,0.768
985,0.763
990,0.727
995,0.716
1000,0.753
1005,0.801
1010,0.813
1015,0.795
1020,0.783
1025,0.804
1030,0.859
1035,0.932
1040,1.02
1045,1.11
1050,1.18
1055,1.18
1060,1.16
1065,1.27
1070,1.67
1075,2.37
1080,3.18
1085,3.93
1090,4.54
1095,5.01
1100,5.2
